# Table format: 3D	
# Getriebe: VOITH D 857.8 Diff.3 
# 
# Autor: Ebners, araev 
# Datum: 10-Jan-2024 14:29:50 

 10
 28
  7
  0  380  760  1140  1520  1900  2280  2660  3040  3420  
-550  -4.888889e+02  -4.277778e+02  -3.666667e+02  -3.055556e+02  -2.444445e+02  -1.833334e+02  -1.222223e+02  -6.111120e+01  -1.000000e-04  6.111100e+01  1.222221e+02  1.833332e+02  2.444443e+02  3.055554e+02  3.666665e+02  4.277776e+02  4.888887e+02  5.499998e+02  6.111109e+02  6.722220e+02  7.333331e+02  7.944442e+02  8.555553e+02  9.166664e+02  9.777775e+02  1.038889e+03  1.100000e+03  
  1   2   3   4
  5   6   7 
  0.9739    0.9758    0.9754    0.9727    0.9676    0.9603    0.9506    0.9387    0.9244    0.9078  
  0.9753    0.9771    0.9767    0.9741    0.9694    0.9624    0.9533    0.9419    0.9283    0.9124  

  0.9346    0.9379    0.9372    0.9323    0.9235    0.9106    0.8941    0.8739    0.8502    0.8235  
  0.9270    0.9307    0.9299    0.9245    0.9147    0.9006    0.8824    0.8603    0.8346    0.8057  
  0.9174    0.9216    0.9206    0.9146    0.9037    0.8880    0.8678    0.8435    0.8154    0.7839  
  0.9050    0.9097    0.9086    0.9018    0.8894    0.8717    0.8491    0.8220    0.7910    0.7567  
  0.8881    0.8936    0.8923    0.8845    0.8702    0.8499    0.8242    0.7937    0.7593    0.7216  
  0.8640    0.8704    0.8689    0.8596    0.8428    0.8192    0.7895    0.7548    0.7162    0.6746  
  0.8265    0.8344    0.8326    0.8212    0.8009    0.7726    0.7377    0.6978    0.6543    0.6086  
  0.7605    0.7705    0.7682    0.7538    0.7284    0.6937    0.6522    0.6062    0.5578    0.5090  
  0.6135    0.6267    0.6237    0.6049    0.5727    0.5311    0.4839    0.4349    0.3868    0.3414  
  0.0253    0.0267    0.0264    0.0244    0.0215    0.0182    0.0151    0.0124    0.0102    0.0084  
  0.6135    0.6267    0.6237    0.6049    0.5727    0.5311    0.4839    0.4349    0.3868    0.3414  
  0.7605    0.7705    0.7682    0.7538    0.7284    0.6937    0.6522    0.6062    0.5578    0.5090  
  0.8265    0.8344    0.8326    0.8212    0.8009    0.7726    0.7377    0.6978    0.6543    0.6086  
  0.8640    0.8704    0.8689    0.8596    0.8428    0.8192    0.7895    0.7548    0.7162    0.6746  
  0.8881    0.8936    0.8923    0.8845    0.8702    0.8499    0.8242    0.7937    0.7593    0.7216  
  0.9050    0.9097    0.9086    0.9018    0.8894    0.8717    0.8491    0.8220    0.7910    0.7567  
  0.9174    0.9216    0.9206    0.9146    0.9037    0.8880    0.8678    0.8435    0.8154    0.7839  
