;;L0; L3 ; L4 min ; L4 max ; L6 min ; L6 max ; L7 
Sparprogramm Downhill 
4->3;DNS 64;  950;  675;  675;  775;  775;  825; 1425;
4->3O;DNS 65;  950;  700;  700;  800;  700;  800; 1450;
4O->3O;DNS 75;  950;  700;  700;  800;  700;  800; 1450;
4O->4;DNS 76;  950;  700;  750;  775;  775;  800; 1650;


Leistungsprogramm Plain 
1->2;UPS 12; 1325;  825;  825;  875; 1025; 1100; 1325;
2->2O;UPS 23; 1525;  825;  825;  875; 1150; 1300; 1525;
2->3;UPS 24; 1525;  825;  825;  875; 1150; 1300; 1525;
2O->3;UPS 34; 1525;  825;  825;  875; 1150; 1300; 1525;
2O->3O;UPS 35; 1525;  825;  825;  875; 1150; 1300; 1525;
3->3O;UPS 45; 1525;  825;  825;  875; 1150; 1300; 1525;
3->4;UPS 46; 1525;  825;  825;  875; 1150; 1300; 1525;
3O->4;UPS 56; 1525;  825;  825;  875; 1150; 1300; 1525;
3O->4O;UPS 57; 1525;  825;  825;  875; 1150; 1300; 1525;
4->4O;UPS 67; 1525;  925;  925;  975; 1250; 1400; 1750;
2->1;DNS 21;  725;  750;  750;  800;  950; 1025; 1225;
2O->2;DNS 32;  950;  775;  775;  825; 1100; 1250; 1450;
3->2;DNS 42;  950;  750;  750;  800; 1075; 1225; 1425;
3->2O;DNS 43;  950;  775;  775;  825; 1100; 1250; 1450;
3O->2O;DNS 53;  950;  775;  775;  825; 1100; 1250; 1450;
3O->3;DNS 54;  950;  775;  775;  825; 1100; 1250; 1450;
4->3;DNS 64;  950;  750;  750;  800; 1075; 1225; 1425;
4->3O;DNS 65;  950;  775;  775;  825; 1100; 1250; 1450;
4O->3O;DNS 75;  950;  775;  775;  825; 1100; 1250; 1450;
4O->4;DNS 76;  950;  800;  800;  850; 1125; 1275; 1625;


Leistungsprogramm Uphill 
1->2;UPS 12; 1325; 1025; 1025; 1075; 1125; 1300; 1325;
2->2O;UPS 23; 1525; 1100; 1100; 1250; 1500; 1550; 1525;
2->3;UPS 24; 1525; 1100; 1100; 1250; 1500; 1550; 1525;
2O->3;UPS 34; 1525; 1125; 1125; 1275; 1500; 1550; 1525;
2O->3O;UPS 35; 1525; 1125; 1125; 1275; 1500; 1550; 1525;
3->3O;UPS 45; 1525; 1125; 1125; 1275; 1500; 1550; 1525;
3->4;UPS 46; 1525; 1125; 1125; 1275; 1500; 1550; 1525;
3O->4;UPS 56; 1525; 1125; 1125; 1275; 1500; 1550; 1525;
3O->4O;UPS 57; 1525; 1125; 1125; 1275; 1500; 1550; 1525;
